No,games,games_started,int,intyds,int_td,int_lng,intPD,FF,Fmb,FR,FmYds,TD,Sk,Tkl,Ast,Sfty,Player
,12,12,,,,,,0,10,6,-13,0,,,,,Mitch Trubisky
,1,1,,,,,,0,0,1,0,0,,,,,Patrick Mahomes
,15,15,,,,,,0,9,2,-14,0,,,,,DeShone Kizer
,7,5,,,,,,0,3,1,0,0,,,,,C.J. Beathard
,4,2,,,,,,0,2,2,-6,0,,,,,Nathan Peterman
,22,22,,,,,,0,13,1,0,0,,,,,Jared Goff
,29,29,,,,,,0,23,11,-52,0,,,,,Carson Wentz
,5,4,,,,,,0,4,2,0,0,,,,,Paxton Lynch
,19,17,,,,,,0,11,6,-13,0,,,,,Jacoby Brissett
,12,8,,,,,,0,4,2,-12,0,,,,,Cody Kessler
,32,32,,,,,,0,13,4,-3,0,,,,,Dak Prescott
,45,45,,,,,,0,31,14,-38,0,,,,,Jameis Winston
,42,42,,,,,,0,21,6,-39,0,,,,,Marcus Mariota
,10,7,,,,,,0,2,1,0,0,,,,,Bryce Petty
,15,9,,,,,,0,5,2,-1,0,,,,,Brett Hundley
,26,24,,,,,,0,9,1,-1,0,,,,,Trevor Siemian
,62,61,,,,,,0,38,11,-51,0,,2,0,,Blake Bortles
,15,8,,,,,,0,7,1,0,0,,,,,Johnny Manziel
,30,28,,,,,,0,11,2,-2,0,,1,0,,Teddy Bridgewater
,62,62,,,,,,0,33,7,-56,0,,1,0,,Derek Carr
,23,7,,,,,,0,3,1,-3,0,,,,,Jimmy Garoppolo
,13,9,,,,,,0,11,1,-8,0,,,,,Tom Savage
,14,10,,,,,,0,8,1,-6,0,,,,,Zach Mettenberger
,30,18,,,,,,0,11,4,-5,0,,2,0,,EJ Manuel
,35,31,,,,,,1,19,8,-23,0,,2,0,,Geno Smith
,25,22,,,,,,0,14,9,-25,0,,2,0,,Mike Glennon
,11,6,,,,,,0,7,3,-7,0,,,,,Matt Barkley
,5,0,,,,,,0,1,1,0,0,,,,,Ryan Nassib
,19,5,,,,,,0,2,5,0,0,,,,,Landry Jones
,70,70,,,,,,0,38,13,-42,0,,6,3,,Andrew Luck
,42,40,,,,,,0,36,10,-77,0,,2,0,,Robert Griffin
,77,77,,,,,,0,47,16,-46,0,,5,0,,Ryan Tannehill
,34,25,,,,,,0,15,2,-8,0,,,,,Brandon Weeden
,42,25,,,,,,0,11,4,-8,0,,,,,Brock Osweiler
,96,96,,,,,,1,60,29,-55,0,,4,0,,Russell Wilson
,49,39,,,,,,0,27,9,-40,0,,2,0,,Nick Foles
,62,57,,,,,,0,37,15,-64,0,,,,,Kirk Cousins
