Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Sk_Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV,Player
Career,Career,,,NA,12,12,4-8-0,196,330,59.4,2193,7,2.1,7,2.1,70,6.6,6.1,11.2,182.8,77.5,31,196,5.53,5.05,8.6,0,1,7,Mitch Trubisky
Career,Career,,,NA,1,1,1-0-0,22,35,62.9,284,0,0,1,2.9,51,8.1,6.8,12.9,284,76.4,2,15,7.27,6.05,5.4,0,1,1,Patrick Mahomes
Career,Career,,,NA,7,6,3-3-0,126,204,61.8,1699,19,9.3,8,3.9,72,8.3,8.4,13.5,242.7,103,19,116,7.1,7.19,8.5,NA,NA,7,Deshaun Watson
Career,Career,,,NA,15,15,0-15-0,255,476,53.6,2894,11,2.3,22,4.6,56,6.1,4.5,11.3,192.9,60.5,38,226,5.19,3.69,7.4,NA,NA,5,DeShone Kizer
Career,Career,,,NA,7,5,1-4-0,123,224,54.9,1430,4,1.8,6,2.7,83,6.4,5.5,11.6,204.3,69.2,19,141,5.3,4.52,7.8,NA,NA,4,C.J. Beathard
Career,Career,,,NA,4,2,1-1-0,24,49,49,252,2,4.1,5,10.2,21,5.1,1.4,10.5,63,38.4,1,5,4.94,1.24,2,NA,NA,1,Nathan Peterman
Career,Career,,,NA,22,22,11-11-0,408,682,59.8,4893,33,4.8,14,2.1,94,7.2,7.2,12,222.4,89.4,51,394,6.14,6.18,7,1,1,13,Jared Goff
Career,Career,,,NA,29,29,18-11-0,644,1047,61.5,7078,49,4.7,21,2,73,6.8,6.8,11,244.1,88.8,61,375,6.05,6.08,5.5,2,2,24,Carson Wentz
Career,Career,,,NA,5,4,1-3-0,79,128,61.7,792,4,3.1,4,3.1,31,6.2,5.4,10,158.4,76.7,18,93,4.79,4.1,12.3,NA,NA,2,Paxton Lynch
Career,Career,,,NA,19,17,5-12-0,310,524,59.2,3498,13,2.5,7,1.3,80,6.7,6.6,11.3,184.1,81.9,58,351,5.41,5.31,10,0,1,13,Jacoby Brissett
Career,Career,,,NA,12,8,0-8-0,139,218,63.8,1506,6,2.8,3,1.4,44,6.9,6.8,10.8,125.5,87.4,27,188,5.38,5.32,11,NA,NA,3,Cody Kessler
Career,Career,,NA,NA,1,0,NA,14,21,66.7,150,1,4.8,1,4.8,32,7.1,6,10.7,150,83.4,2,7,6.22,5.13,8.7,NA,NA,0,Connor Cook
Career,Career,,,NA,32,32,22-10-0,619,949,65.2,6991,45,4.7,17,1.8,83,7.4,7.5,11.3,218.5,95.5,57,328,6.62,6.76,5.7,5,9,30,Dak Prescott
Career,Career,,NA,NA,1,0,NA,6,11,54.5,96,0,0,1,9.1,64,8.7,4.6,16,96,46,1,2,7.83,4.08,8.3,NA,NA,0,Cardale Jones
Career,Career,,,NA,8,1,0-1-0,60,101,59.4,621,4,4,7,6.9,49,6.1,3.8,10.4,77.6,61.5,8,45,5.28,3.13,7.3,NA,NA,2,Kevin Hogan
Career,Career,,NA,NA,1,0,NA,19,23,82.6,134,0,0,0,0,16,5.8,5.8,7.1,134,90.9,3,24,4.23,4.23,11.5,NA,NA,1,Nate Sudfeld
Career,Career,,NA,NA,3,0,NA,3,5,60,24,0,0,1,20,13,4.8,-4.2,8,8,32.5,0,0,4.8,-4.2,0,NA,NA,0,Jake Rudock
Career,Career,,,NA,45,45,18-27-0,939,1544,60.8,11636,69,4.5,44,2.8,70,7.5,7.1,12.4,258.6,87.2,95,636,6.71,6.35,5.8,5,8,35,Jameis Winston
Career,Career,,,NA,42,42,20-22-0,787,1274,61.8,9476,58,4.6,34,2.7,75,7.4,7.1,12,225.6,88.6,88,587,6.53,6.25,6.5,7,8,34,Marcus Mariota
Career,Career,,,NA,7,1,0-1-0,31,50,62,235,0,0,1,2,50,4.7,3.8,7.6,33.6,65,3,20,4.06,3.21,5.7,NA,NA,1,Sean Mannion
Career,Career,,,NA,10,7,1-6-0,130,245,53.1,1353,4,1.6,10,4.1,52,5.5,4,10.4,135.3,57.7,21,134,4.58,3.19,7.9,1,1,4,Bryce Petty
Career,Career,,,NA,15,9,3-6-0,194,326,59.5,1853,9,2.8,13,4,55,5.7,4.4,9.6,123.5,67.9,29,197,4.66,3.52,8.2,2,2,5,Brett Hundley
Career,Career,,,NA,26,24,13-11-0,495,835,59.3,5686,30,3.6,24,2.9,76,6.8,6.2,11.5,218.7,79.9,64,407,5.87,5.34,7.1,3,2,13,Trevor Siemian
Career,Career,,,NA,62,61,21-40-0,1318,2229,59.1,14928,90,4,64,2.9,90,6.7,6.2,11.3,240.8,80.8,164,985,5.83,5.38,6.9,6,7,42,Blake Bortles
Career,Career,,,NA,15,8,2-6-0,147,258,57,1675,7,2.7,7,2.7,61,6.5,5.8,11.4,111.7,74.4,22,167,5.39,4.76,7.9,NA,NA,5,Johnny Manziel
Career,Career,,,NA,30,28,17-11-0,551,851,64.7,6150,28,3.3,22,2.6,87,7.2,6.7,11.2,205,86.3,83,556,5.99,5.53,8.9,4,4,22,Teddy Bridgewater
Career,Career,,,NA,62,62,28-34-0,1378,2247,61.3,14690,103,4.6,44,2,87,6.5,6.6,10.7,236.9,87.5,91,559,6.04,6.08,3.9,13,13,40,Derek Carr
Career,Career,,,NA,23,7,7-0-0,183,272,67.3,2250,12,4.4,5,1.8,61,8.3,8.3,12.3,97.8,99.7,16,108,7.44,7.49,5.6,3,3,8,Jimmy Garoppolo
