linkname,links
Mitch Trubisky,https://pro-football-reference.com/players/T/TrubMi00.htm
Patrick Mahomes,https://pro-football-reference.com/players/M/MahoPa00.htm
Deshaun Watson,https://pro-football-reference.com/players/W/WatsDe00.htm
DeShone Kizer,https://pro-football-reference.com/players/K/KizeDe00.htm
C.J. Beathard,https://pro-football-reference.com/players/B/BeatC.00.htm
Nathan Peterman,https://pro-football-reference.com/players/P/PeteNa00.htm
Jared Goff,https://pro-football-reference.com/players/G/GoffJa00.htm
Carson Wentz,https://pro-football-reference.com/players/W/WentCa00.htm
Paxton Lynch,https://pro-football-reference.com/players/L/LyncPa00.htm
Jacoby Brissett,https://pro-football-reference.com/players/B/BrisJa00.htm
Cody Kessler,https://pro-football-reference.com/players/K/KessCo00.htm
Connor Cook,https://pro-football-reference.com/players/C/CookCo00.htm
Dak Prescott,https://pro-football-reference.com/players/P/PresDa01.htm
Cardale Jones,https://pro-football-reference.com/players/J/JoneCa01.htm
Kevin Hogan,https://pro-football-reference.com/players/H/HogaKe00.htm
Nate Sudfeld,https://pro-football-reference.com/players/S/SudfNa00.htm
Jake Rudock,https://pro-football-reference.com/players/R/RudoJa00.htm
Jameis Winston,https://pro-football-reference.com/players/W/WinsJa00.htm
Marcus Mariota,https://pro-football-reference.com/players/M/MariMa01.htm
Sean Mannion,https://pro-football-reference.com/players/M/MannSe00.htm
Bryce Petty,https://pro-football-reference.com/players/P/PettBr01.htm
Brett Hundley,https://pro-football-reference.com/players/H/HundBr00.htm
Trevor Siemian,https://pro-football-reference.com/players/S/SiemTr00.htm
Blake Bortles,https://pro-football-reference.com/players/B/BortBl00.htm
Johnny Manziel,https://pro-football-reference.com/players/M/ManzJo00.htm
Teddy Bridgewater,https://pro-football-reference.com/players/B/BridTe00.htm
Derek Carr,https://pro-football-reference.com/players/C/CarrDe02.htm
Jimmy Garoppolo,https://pro-football-reference.com/players/G/GaroJi00.htm
Logan Thomas,https://pro-football-reference.com/players/T/ThomLo00.htm
Tom Savage,https://pro-football-reference.com/players/S/SavaTo00.htm
A.J. McCarron,https://pro-football-reference.com/players/M/McCaA.00.htm
Zach Mettenberger,https://pro-football-reference.com/players/M/MettZa00.htm
David Fales,https://pro-football-reference.com/players/F/FaleDa00.htm
EJ Manuel,https://pro-football-reference.com/players/M/ManuEJ00.htm
Geno Smith,https://pro-football-reference.com/players/S/SmitGe00.htm
Mike Glennon,https://pro-football-reference.com/players/G/GlenMi00.htm
Matt Barkley,https://pro-football-reference.com/players/B/BarkMa00.htm
Ryan Nassib,https://pro-football-reference.com/players/N/NassRy00.htm
Landry Jones,https://pro-football-reference.com/players/J/JoneLa02.htm
Sean Renfree,https://pro-football-reference.com/players/R/RenfSe00.htm
Andrew Luck,https://pro-football-reference.com/players/L/LuckAn00.htm
Robert Griffin,https://pro-football-reference.com/players/G/GrifRo01.htm
Ryan Tannehill,https://pro-football-reference.com/players/T/TannRy00.htm
Brandon Weeden,https://pro-football-reference.com/players/W/WeedBr00.htm
Brock Osweiler,https://pro-football-reference.com/players/O/OsweBr00.htm
Russell Wilson,https://pro-football-reference.com/players/W/WilsRu00.htm
